"Weekly deaths by sex and age group, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sex,Age,All,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
female,0,74,3,1,0,1,2,4,2,1,1,1,1,1,2,1,2,2,2,3,4,2,1,3,1,0,0,0,2,0,1,1,1,2,2,0,1,2,0,0,0,2,1,3,0,4,1,2,2,1,1,3,1,0,0
,1-4,10,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
,5-9,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,10-14,17,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
,15-19,31,1,0,0,0,0,2,0,0,1,0,0,4,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,2,0,0,3,0,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,1,0
,20-24,44,0,2,0,1,0,0,0,2,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,2,3,3,1,1,0,1,2,2,1,2,1,0,0,2,0,1,2,1,1,2,1,0,0,1,0
,25-29,58,0,4,2,1,2,2,1,0,0,2,0,0,1,2,0,1,3,1,0,2,0,1,1,0,0,1,2,2,1,2,1,3,1,3,0,0,0,2,1,1,1,0,2,0,0,0,2,0,0,2,5,0,0
,30-34,102,3,0,3,2,4,1,4,0,0,1,3,1,3,0,4,5,1,1,1,4,4,1,2,0,4,3,0,1,1,1,3,0,2,1,2,4,0,3,1,2,0,0,4,2,5,0,2,3,3,4,3,0,0
,35-39,207,1,5,8,5,1,2,2,6,2,2,1,8,1,3,2,3,3,2,2,6,5,6,5,3,1,4,7,2,6,3,4,5,5,4,8,4,3,3,4,3,5,2,9,6,2,6,3,8,7,3,3,3,0
